aah|00867440
intercalate|00190259
intercede|00763001
intercept|01442997,02193294
interchange|02262575,02262178,00121734,00121486
intercommunicate|02628893,00742582
interconnect|02629050,01358349
interdepend|02628114
interdict|01624455,00797525
interest|01825361,02684248,02684473
interfere|02457343,02544431
interiorise|00731766
interiorize|00731766
interject|00916722
interlace|01520294,01609657
interlard|00189521
interleave|02340258,01379483,00189696
interlink|02629050,01358349
interlock|00406004,01609657,01608939
interlope|02597892
interlude|01717655
intermarry|02495739
intermediate|00763001
intermingle|01465097
intermit|00781106
intermix|01465097
intern|02501036,02451684
internalise|00731766
internalize|00731766
internationalise|02446551,00410044
internationalize|02446551,00410044
interpellate|00786991
interpenetrate|01229799,01231635
interpolate|00644306,00201771
interpose|02103242,02083298,00916722,02544431
interpret|00624823,00940278,01736053,01690027,00961859,00595247
interrelate|02730292,00715723
interrogate|00975562,00789846
interrupt|00780320,00521099,00521437,00364717
intersect|02027242
intersperse|01379285,00189521
interstratify|00507908
intertwine|01520294,01678439,01677367
intervene|02544431,02697331,00341638
interview|00810517,00810910,00811115
interweave|01521557
intimate|00929682,00932768
intimidate|01784999,01823521
intonate|01052185,01051609
intone|01068797,01051609,01052185
intoxicate|01815703,01193027,00088284
intransitivise|00421862
intransitivize|00421862
intrench|01533813
intrigue|02684649,00709785
introduce|00902866,01645979,00187671,02082838,01621712,01424276,01067137,00708522,00903562,00350246
introject|00555971
intromit|02508185
introspect|00633253
introvert|01509444,00534977
intrude|02022376,02577166,02173563,00749763
intrude_on|02023568
intrust|02354208
intubate|01424826
intuit|00592156
intumesce|01994960,00257393
intussuscept|01509638
inunct|00085379
inundate|01527311,00218126
inure|00273709
invade|01128786,02023568,02660781,01230052
invaginate|01584638,01509444
invalid|02409926,00091720
invalidate|02483482,00802122,00669020,00449395
inveigh|00913214,00912317
inveigle|00770823
invent|01635953,01637966
inventory|02477918
invert|00387824,00387636,00387386
invest|02275982,02479662,02391817,02391530,02389417
investigate|00790800,00787624
invigilate|02599510
invigorate|01816687,00443018,00193180,00028355
invite|01763987,02389828,01811496,00795242,02390082,01472399,01065717,01472854
invite_out|02492311
invoice|02325883
invoke|01633150,01026873,00757492
involve|02682907,02683377,02642216,02634015,02639299,00602119,00402444
inweave|01521082
iodinate|00521961
iodise|00185052,00079922
iodize|00185052,00079922
ionate|00522265
ionise|00267927,00267684
ionize|00267927,00267684
iridesce|02739803
irk|01790579
iron|01393487
iron_out|00208463,01393487
irradiate|00928903,00292519,00292206
irrigate|00228662,00079704
irritate|01791774,00063062,00504796
irrupt|02022376,00308567,00157431
islamise|00386923,00386356
islamize|00386923,00386356
island_hop|02100178
isolate|00495205,00497851,00496744,00657049
isomerise|00576246,00576073
isomerize|00576246,00576073
issue|00969657,02484912,01065071,00530070,01066821
issue_forth|02749796
italicise|01752825
italicize|01752825
itch|02124339,02125653,02125888,01829703
itemise|00948620,00948137
itemize|00948137,00948620
iterate|00960366,00344254
itinerate|02106525
jab|01232540,01233119,01232914
jabber|01053828
jack|01222108,01147831
jack_off|01433266
jack_up|01222108
jacket|01337613,00048507
jackknife|01967466
jacklight|01147831
jackrabbit|02101954
jactitate|01894785
jade|00075867,00074774
jag|01258188
jail|02500005
jam|02068059,01997700,01495601,01058906,01527965,01527086,01479113
jampack|01527086
jangle|02177127
japan|01686841
jar|02673757,01868851,01869037,01773011,01500503
jar_against|01242872
jaundice|00478038,00106477
jaunt|01846997
jaw|01040538,01039370,01203727,00826456
jawbone|01041034
jaywalk|01919246
jazz|01729611,01429048
jazz_around|01886682
jazz_up|00193003
jeer|00851872
jell|00443624
jellify|00508412,00508224
jelly|00508224
jeopardise|02702962
jeopardize|02702962,02550969
jerk|01594993,01895810,00009624,01888376,01594079
jerk_off|01433266
jest|00855315,00105308
jest_at|00853615
jet|01518922,01946093
jettison|02227918,01512714
jewel|01682580
jib|02589630,01950676
jibe|02663315,01950676
jig|01902025
jiggle|01902275
jilt|00614762
jimmy|01596175
jingle|02177127
jingle-jangle|02177127
jinx|00779033,00704950
jitterbug|01902174
jive|01712401
job|02578970,02466486,02425889,02276935
jockey|01107035,01112554,01089485
jog|02690276,01991662,01932343,01905440,01234092,00796195
joggle|01902275,01607507
join|02439823,01297878,02604762,01293672,02628315
join_battle|01093571
join_forces|02421408
joint|02666225,02359283,01607617,01560208
joke|00855315,00105308
jollify|02497032
jolly|00856977
jolly_along|00860989
jolly_up|00860989
jolt|01868851,01766815
josh|00856977
jostle|01918446,01875673
jot|01008101
jot_down|01008101
jounce|01896601
journey|01849662,01850858
joust|01125162
joy|01817851,01817466
joyride|01960567
jubilate|02496911,00859605
judder|01895631
judge|00674196,00672179,00674352,00973682,02506927
jug|02500005,00324872
juggle|02584320,02583476,02443248,01607735,01605448
juice_up|00193003
julienne|01259613
jumble|02745736,01660937,01475437
jump|01967949,01914366,01123596,00155535,02680375,01085330,00155355,02109360,02015717,01972282,01969163,01863036,00618188,00561468,00121314
jump-start|01863036,00349877
jump_for_joy|01817635
jump_off|00347758,02109360
jump_on|01927367
jump_out|02680375
jumpstart|01863036,00349877
junk|02228020
junket|01847306,01188741,01188514
junketeer|01847306
justify|00897737,00904407,00490635
jut|02719247
jut_out|02719247
juxtapose|01504599
kayak|01951594
kayo|01416742
keel|01928835
keel_over|01980716
keen|01806201
keep|02687605,02690747,02207166,02455370,02584957,00734575,02207710,01067899,02657948,02415305,01187158,02740675,02584595,02738997,02658111,02288561,02208876,02208626,02207950,01304679,00233707,00212840
keep_abreast|00118572
keep_an_eye_on|02460829
keep_apart|00496744
keep_away|02456144
keep_back|02288169,02218472,00233707
keep_company|02722642
keep_down|00236768,02428975,00077122
keep_going|02690077,02629427,00910574
keep_guard|02460581
keep_in|02502037
keep_in_line|01807900
keep_mum|01042933
keep_note|00739198
keep_off|01192356,00813382
keep_on|02415305
keep_one's_distance|02661794
keep_one's_eyes_off|02661794
keep_one's_eyes_open|02171654
keep_one's_eyes_peeled|02171654
keep_one's_eyes_skinned|02171654
keep_one's_hands_off|02661794
keep_one's_mouth_shut|00939649
keep_one's_nose_to_the_grindstone|02420703
keep_one's_shoulder_to_the_wheel|02420703
keep_open|02288561
keep_out|02454205,00118243
keep_pace|01116561
keep_quiet|00939649
keep_step|01116561
keep_tabs_on|02461283
keep_to_oneself|02376443,02218824
keep_track|00596529
keep_up|01116393,02685340,02284977,00118572,00020442
kennel|02465222
keratinise|00577937,00577761
keratinize|00577937,00577761
kern|02371104,02370935
key|00654017,02343223,01523288,00484587,00483680
key_out|00654017
keynote|00299969,00770310
kibbitz|01060867
kibitz|01060867
kibosh|02565578
kick|01374421,01940092,01373226,02052460,01374119,01199057,01115404,00909100
kick-start|01862002
kick_about|02610312
kick_around|02610312,02522644,00815313
kick_back|02360255,01374119
kick_down|01589659
kick_downstairs|02404473
kick_in|02615474,02313721,01589659
kick_off|02400924
kick_one's_heels|02644290
kick_out|02507387,02406951
kick_the_bucket|00359085
kick_up|01374316,01650408
kick_upstairs|02402779
kid|00852780,00856977
kidnap|01473673
kill|01326622,02479111,00355692,02754370,02203333,01813584,01410030,01409889,01328456,01328218,01204994,00479761,00356178,00356019,00355831
kill_off|01330264
kill_oneself|01148848
kindle|02767643,02767330,01763170
kink|01226397,00362781
kink_up|01226397
kip|00014735
kip_down|00017858
kiss|01433863,01434356
kit|02346196
kit_out|02346196
kit_up|02346196
kite|02211095,02210922,01946419,01852132
kitten|00057849
knap|01416942,01262022
knead|01237919,01235302
kneecap|01139841
kneel|01548431
knell|02186311,02185984
knife|01234216
knight|02404327
knit|01674934,01675909,01281420
knock|01241204,01417121,01242183,02189819,02183310,00828170
knock_about|01420359,02610312
knock_against|01242872
knock_back|02708534
knock_cold|01416742
knock_down|01242426,01415000,00336968
knock_off|01329983,02354593,02327226,01704514,00363763
knock_out|00473357,01416742,00180747,01813947,00452108
knock_over|01913971
knock_up|00052876
knot|01677627,01302730,01523757
know|00596016,00597330,00597025,00595732,00598039,00594278,00597527,01429048,00610224,00610056,00609926
know_apart|00651669
know_as|01030757,00691692
know_the_score|00597879
know_what's_going_on|00597879
know_what's_what|00597879
knuckle|01608212,01608090
knuckle_down|02426299
knuckle_under|00806138
kotow|00882499
kowtow|02044554,00882499
kvetch|00909100
label|01031885,01591414,00973682,00653151,00652603
labialise|00982371
labialize|00982371
labor|02412046,02424873,00057220
labour|02424873,02412046,00057220
lace|01520294,01678612,01678270,01524236,00222561
lace_into|01245101
lace_up|01524236
lacerate|01562122,01797598
lack|02638434
lacquer|01686656
lactate|01188961
ladder|00335613
lade|01581670,01492646
laden|01581670,01492646
ladle|01581842,01581670
lag|02001894,02500005,01515677,01341732
laicise|00535174
laicize|00535174
lallygag|02645159
lam|02079296,01418847
lam_into|01245101
lamb|00057988
lambast|01414858,00826456
lambaste|01414858,00826456
lame|00091399
lament|01806201,00913303
laminate|01628703,01394192,01367834,01234951
lampoon|00854367
lance|02089405,01607040,01606806
land|01983915,01985050,00135665,02091423,02363526,01985450,01985293
land_up|01480518,00353212
landscape|01755644,01745102
languish|00390663,01809651,00093345
lap|02698039,01434809,02192644,01173263,00218002
lap_up|01173263
lapidate|01326182,01235118
lapidify|00508566
lapse|01976145,00352478,00204947,00093079,02308741,02076777
lard|01683564,00958437
lark|01887709
lark_about|01887709
larn|00599310
larrup|01423582
lash|01413739,01881939,01400686,01306367
lash_out|00864347
lash_together|01290140
lasso|01607172
last|02710788,02624202
last_out|02625202
latch|01289380
latch_on|01218758,00603507,00591761
lateralize|02108059
lather|01413739,00513124,00109348,00036925
latinise|00997570,00387237
latinize|00997570,00963275,00387237
laud|00862284
laugh|00031813
laugh_at|00853615
laugh_away|00803798
laugh_loudly|00031533
laugh_off|00803798
laugh_softly|00031656
launch|02431950,01517287,01518047,00348572,01517828,01255927
launder|01538034,00189281
lave|00218002,00036355,00025027
lavish|02269409
lay|01496967,01547474,01655514,01547861,02312241
lay_aside|02270824
lay_away|02310836
lay_claim|02280210
lay_down|00667394
lay_eyes_on|02134625
lay_hands_on|01214588
lay_in|02285938
lay_into|01245101
lay_off|02686624,02408679
lay_on_the_line|02551275
lay_out|01476839,00408773,02371574,00775012,00712869
lay_over|02659017,01471892
lay_to_rest|02461925
lay_up|00513563
lay_waste_to|00389306
layer|01264677
laze|02422604
leach|02075765,02075555,00489553
lead|02003830,02641740,02642040,02003455,00773677,02691775,02445109,02693227,02561616,01736802,02692313,02003250,02692467,00815452
lead_astray|02586477,02004320,00856102
lead_by_the_nose|00840873
lead_off|02586477,00349400
lead_on|00786003,02581157
lead_up|00540626
leaf|02157453,02094104,00095501
league|00369717
league_together|02434925
leak|00939053,00938201,00530839,00258995
leak_out|00938201
lean|02042202,01609495,02725274,00690162,02042858
lean_against|01592928
lean_back|02043001
lean_on|01592928
leap|01967949,00561468,02109360,01969163
leap_out|02680375,01970508
leapfrog|01969918,00250074
learn|00599310,00600349,00605971,00601387,00830768,00922307
lease|02465622,02466042,02213685,02213319
leash|01291758
leather|01401336
leave|02013448,00615374,02735289,00136799,02019450,02727313,02641740,02388582,02361226,02233837,02736010,00360745,02301114,00614532
leave_alone|00136799
leave_behind|02085825,00360745,00136799
leave_no_stone_unturned|01318869
leave_off|02689901,00617464,00573738
leave_office|02387509
leave_out|00617464,00616690
leaven|01979601
lech_after|01832198
lecture|00832422,00826456
leech|00085829
leech_onto|01359844
leer|02168719
leg_it|01910315
legalise|02487025
legalize|02487025
legislate|02472093
legitimate|02487025,00898327,00576436
legitimatise|02487025
legitimatize|02487025
legitimise|02487025
legitimize|02487025
lend|02329474,02329178,02742266
lend_oneself|02713289
lengthen|00318501,00317432
lenify|01769244
lessen|00151509,00442400,00233328
let|02427979,00773535,00803980,00120604,00497754,02213685
let_alone|00136799
let_down|01977139,01802947
let_drive|01136801
let_fly|01136801
let_go|01477180,02742938
let_go_of|01477180
let_in|02454712,02508185
let_it_go|02376330
let_loose|00985856,01478166
let_off|00895399
let_on|00935783
let_out|00985856,00935783,01477931,00304721
let_the_cat_out_of_the_bag|00939238
let_up|00245945,00156084
letter|02295310,01696474,01696338
letter_bomb|01135914
levant|02078021
level|01155362,01665698,01309802,01154680,00966269,00357303
level_off|00357303
lever|01596175
leverage|02364838,02364689
levitate|01948325,01948111
levy|02311442,01100863
lexicalise|00964222
lexicalize|00964222
liaise|00763001
libel|00849363
liberalise|02472626,02472426
liberalize|02472426,02472626
liberate|02503049,02426474,02502711,01761838
librate|02710477,01882559
licence|02449527
license|02449527
lick|01415566,01434809,00636568,01173263
lie|02696550,01549783,02659476,02740213,00835938,02737265,01989043
lie_about|02645989
lie_around|02645989
lie_awake|01550707
lie_dormant|02383421
lie_down|01989043
lie_in|02659476,00057124
lie_in_wait|01140630
lie_low|02151104,00590098
lie_with|01429048
lifehack|00589020
lift|01978076,01582002,01977773,01972576,00988106,00801460,02281711,01457813,00551059,00545629,00178766,02702643,02357177,02282906,02281983,01454668,01314268,00794583,00357852,00354849,00198998,00178887,00178616,00061704
lift_off|02018405
lift_out|01315031
lift_up|01980103,01815703
ligate|01618258,00568561,00083087
light|00292635,01202519,01982714,02765572,02234610,01962311,00589392
light_up|02767187,00292635,02777127,02770080,01202519
light_upon|02291532
lighten|01818041,01490199,00861800,00313597,00281690,00199442
lighten_up|01818041,00861800,00313597,00281690
lighter|01958711
lignify|00586576
like|01828678,01781131,01780873,00693431,01829904
liken|00655291
lilt|00952968
limber|01606541,00100891
limber_up|01606541,00027057
lime|02087484,01606653
limit|00234091,00236085,00949109
limn|01693274,01692151
limp|01921237,02000434
line|02709399,01273348,01585566,01278925,00455090,00223419
line_one's_pockets|02283572
line_up|02710073,02218118,02040600,00465234,02040495,01076346
linearise|00490081
linearize|00490081
linger|02737117,02645159,02015412,02062514,02646990
linger_over|02646310
link|00715072,01357376,02628315,01494709
link_up|02628315,01357376,00715072
lionise|02404098
lionize|02404098
lip-read|00629632
lip-sync|01042792
lip-synch|01042792
lip_off|00827437
lipread|00629632
lipstick|01693484,00041148
liquefy|02763262,00445264,00444939
liquidate|01329983,02357015,02261397,02259303
liquidise|00445264
liquidize|02252366,00445264
liquify|00445264,00444939
lisp|00984210
list|00947885,02477646,02042858,02042636,00948787
listen|02174335,02175483,02577816
listen_in|02174748,02194160
literalise|00625484
literalize|00625484
lithograph|01753202
litigate|02588535,02588127
litter|02741017,01381086,00058124
live|02655932,02620422,02624202,02622766,02620216,00598039,02621023
live_down|02621353
live_in|01179611
live_it_up|01194045
live_on|02624202
live_out|02625100,01179802
live_over|00598611
live_together|02657288
live_up_to|02677669
live_with|00670723
liven|00193180
liven_up|00193180
load|01492646,01492993,02236692,01614988,00488684
load_down|01485761
load_up|01492646
loaf|02645690,02645159
loan|02329178
loathe|01778347
lob|01515922
lobby|02464366
localise|02701737,02698177,02515621,01715608
localize|02701737,02698177,02515621,01715608
locate|02291049,02700775,02338685,00414801
lock|01350856,01513459,00220201,01609657,01608939,01814287,01350360,02054789,01658890
lock_away|01350360
lock_in|01350695,01350360
lock_out|02454582
lock_up|01351134,01350360
locomote|01839438
lodge|02658589,01530857,00871595,02657519
lodge_in|02654741
loft|02287097,01607363,01606933,00713249
log|01004526,01261392
log-in|02253955
log_in|02253955
log_off|02254101
log_on|02253955
log_out|02254101
log_up|01004663
log_z's|00014735
logroll|02380993
loiter|02645159
loll|02723576,02645690
loll_around|02645690
lollop|01904911
lollygag|02645159
long|01832347
look|02134989,02137900,00033592,02158139,02699161,02555278,00931324,00721987,02664525,00714537
look_across|02727841
look_after|02171879
look_around|02136885
look_at|00736077,02134765
look_away|02136728
look_back|02136564,00698180
look_backward|02136564
look_down_on|01832012
look_for|01318273,01808928
look_forward|00722421
look_into|00790800,00663742
look_like|02671694
look_on|02133118,00691692
look_out|02156396,01131490
look_out_on|02727841
look_out_over|02727841
look_sharp|00460453
look_to|00722541,01808928
look_up|00878614
look_up_to|01831800
look_upon|00691692
loom|02702803,02702345,02749936,01676279
loop|02048694,01677367,02048545,01526774,01288893
loose|02426474,01478166,00420328,00420090
loose_off|01136801
loosen|00420328,02607993,02607805,01466421,01287511,01278080,00420090
loosen_up|01482312,02608209,00027057,00026378,00025647
loot|02350284,02349564
lop|01563513,01323662
lop_off|01301854
lope|01932683
lord|02403996
lord_it_over|02599707
lose|02292634,01102003,01799093,02292463,02201537,02293733,02293000,02132318,00497220,00205234
lose_it|01788114
lose_one's_temper|01799439
lose_sight_of|02134482
lose_track|00596701
lot|02474388,02299397
louden|02194923,00462911
lounge|01531127,02645159
lounge_about|02645690
lounge_around|02645690
lour|00532569,00268741,00032974
louse_up|02533317
love|01779085,01832678,01779456,01429048
low|01056890
lowball|00675685
lower|01977139,00532569,00268741,01577754,00032974
lower_oneself|02523493
lube|01487608
lubricate|02757472,01487608,00219438
luck_into|02217428
luck_it|02550634
luck_out|02530405
luck_through|02550634
lucubrate|00957633
luff|01932107,01906239
lug|01456857,01481963
luge|01943893
lull|01767495,00559138,01768652
lumber|01929501,01261392
luminesce|02772181
lump|01388574,00658687
lunch|01187837,01188008
lunge|02066140
lurch|01928835,01868620,02101822,02645559,01106104
lure|00784574
lurk|02646137,02645159,01140630
lust|01191018
lust_after|01832198
lustrate|00477469
luxate|00466675
luxuriate|01207423,01194178,00311594
lynch|02489986
lyophilise|00212662
lyophilize|00212662
lyric|01702775
lysogenize|00467928
macadamise|01606339
macadamize|01606339
macerate|00399859,00399647,00399390,00390077
machicolate|02366810
machinate|01654986,00708804
machine|01627206,01627004
machine-wash|01539902
machine_gun|01139261
machine_wash|01539902
macrame|01674796
maculate|01540197,00493346
madden|01791641,01791528,01791419
madder|00286353
madrigal|01735895
magnetise|00779567,00400694
magnetize|00400694,00779567
magnify|00435030,00841513,00241179
mail|01440525,01033289
mail_out|01440362
maim|00090640
mainline|01202003
maintain|02687605,02284977,01187158,01018787,02209346,02207950,01067899,01019652,00898147,00734575
major|00609022
make|02566500,00120124,01620211,00772482,01649143,01624592,00732743,01649617,01643749,02294200,01622033,02627475,02026014,02680519,01657416,01759660,01658171,00557932,00012260,02401858,02360592,02024442,00667394,02589006,02604480,01737358,00276867,02080104,00073791,02754634,02754502,02751207,02671201,02627213,02138515,02054955,02025384,01759348,01668067,01431211,00892559,00840203,00700022,00699870,00563259,00563144,00547033,00107173,00071765
make_a_clean_breast_of|00819570
make_a_face|00034281
make_a_motion|00880877
make_a_point|02601231
make_a_stink|00912607
make_as_if|00107272
make_believe|00840203
make_bold|02380015
make_clean|01535377
make_do|02593624
make_for|01632781
make_full|00453467
make_fun|00853615
make_good|02585225
make_grow|00254647
make_happy|02497032
make_hay|01165513
make_headway|01113439
make_it|02626004,02591952,02530710
make_love|01429048
make_merry|02497032
make_no_bones_about|00819413
make_noise|02177332
make_off|02077642
make_out|02197640,01066821,00627937,02623620,02593624,01429048,01428804,01022740,00933047,00759101
make_over|01673180,01622744
make_pass|02056400
make_peace|01095998
make_pure|00476114
make_relaxed|00025647
make_sense|02625692
make_sure|02601231
make_unnecessary|00550632
make_up|02626667,01757273,02258264,02526396,01637966,00276867,02678329,00766947,00040659
make_up_one's_mind|00699355
make_vibrant_sounds|01054808
make_water|00071765
make_way|02102610
make_whoopie|02497032
maledict|00867622
malfunction|01528083
malign|00849849
malinger|02469555
malnourish|01181573
malt|00186146,00117686,00117565,00117432
maltreat|02522260
malversate|02297496
mambo|01901482
man|02426091,01090958
manacle|01290804
manage|02528530,02441196,02593624,02447914,02533097,02528887,01226979
mandate|02400745,00753395,00753285
manducate|01203727
maneuver|01935739,02374389,01112274
mangle|01393140,01234662,00549830,00293434
manhandle|01414743
manicure|00042372,00042210
manifest|00822637,01002923,00424028
manifold|00248588,00248276
manipulate|02541995,01214263,02583006,02356235,01807900,00080682
manoeuver|02374389,01935739,01112274
manoeuvre|02374389,01935739,01112274
mantle|02089567,01608325
manufacture|01656984,01637966,01762726,01762540
manumit|02502147
manure|02087334
map|01691771,00712435,02701551,01759993,01692009,00381369
map_out|01759993
mapquest|00650686
mar|00478872,00090460
maraud|02024089
marble|01685387
marbleise|00524516
marbleize|00524516
marcel|00039098
march|02000767,02088627,01923384,02527482,01928665,02088834,01469607
march_on|01996535
march_out|02088170
marginalise|02382611
marginalize|02382611
marinade|00213970
marinate|00213970
mark|01591414,00923709,00653662,00614139,00509113,02513894,02122959,01553977,01278326,01064417,01006107,00802412,00664100,00659399,00190355
mark_down|02325058
mark_off|00235426,00664100
mark_out|00235426
mark_up|02324804
market|02303121,02331194,02303432,00471317
maroon|02233137,00497570
marry|02494483,02495105
marshal|01992339,01362900,00271014,02004789
martyr|01607942,00071399
martyrise|00071399
martyrize|00071399
marvel|00927461,00927706
masculinise|00567646
masculinize|00567972,00567646
mash|01596858,01039782,00331892
mask|02152033,01361031,02163017,01361558,01361440
masquerade|02152392,00839296
mass|02028014
mass-produce|01628928
massacre|00480107
massage|01235302,00064258
master|00599029,01111038,02545000,00598780
mastermind|00711834
masticate|01238231,01203727
masturbate|01433585,01433266
mat|01465557,00566669
mat_up|00566669
match|02663315,02337623,01295488,02677976,00457695,01295992,01083545,00457551,00417926
mate|01431486,01295488,01116893
materialise|00344828
materialize|00344828
matriculate|02476626
matt-up|00566669
matte|00566669
matte_up|00566669
matter|02651923
matter_to|02684473
maturate|00251067,00248912,00096520
mature|00251067,00928127,00579075,00250855,00248912,00096933
maul|01234836,01234662
maunder|01886074,01046405,01038676
max_out|02011125
maximise|00429823,00429536
maximize|00429536,00429823
mean|00957180,02641270,00933814,00710367,02748357,00732037,00710669
meander|01886807
measure|00648747,00490773,02710209,00683348
measure_out|00648747
measure_up|02684822
mechanise|00481682,00481500,00480529
mechanize|00481682,00481500,00480529
meddle|02544767
mediate|00763001,02697732
medicate|00084315,00083983
medicine|00083983
meditate|00632042,00706154
meet|02026953,02492581,02716276,01185870,02433771,02602110,02026650,01081873,02745355,02114536,01208316
meet_up_with|02026823
melanise|00281547,00281302
melanize|00281547,00281302
meld|00904761,00396747,00395719
meliorate|00206293,00205454
mellow|00255558,00255372,00255184
mellow_out|00255372
melodise|01710615
melodize|01710615
melt|00445584,00376777,00255372,00396747,00225077,00224354
melt_down|00445584
melt_off|00045548
memorialise|00770107,00613596
memorialize|00770107,00613596
memorise|00605971
memorize|00605971
menace|02702962,01069216,00012130
mend|00261534,00271360
menstruate|00061974
mensurate|00648747
mention|01026199,01022014,01025080
mentor|00831608
meow|01054654
mercerise|00185843
mercerize|00185843
merchandise|02265169
merge|00368338,00395719,00244010
merit|02652462
mesh|01513459,00406004,02463449,01465969
mesmerise|00779567,00020664
mesmerize|00779567,00020664
mess|01178376,00277013
mess_about|02645159
mess_around|01475976
mess_up|02533317,01390147,00277013
message|01073654,01073496,01073350
metabolise|01200388
metabolize|01200388
metal|01606224
metalize|01618506
metallize|01618506
metamorphose|00384726,00382272
metastasise|00104421
metastasize|00104421
mete_out|02299397
meter|00491522,01276538
metricate|00382002
metricise|00384435,00382002
metricize|00384435,00382002
metrify|01706882,00382002
mew|01054654,01062070
mewl|00065796
miaou|00943751
miaow|00943751
micro-cook|00322737
microcopy|01740404
microfilm|01716309
microwave|00322737
micturate|00071765
middle|01501137
miff|01790439
migrate|01860612,01861079
mildew|00211164
militarise|01101280,00579193
militarize|01101280,00579193
militate|02435976
milk|00194514,01167222,00194717
mill|01906119,00332827,01460454,01394351
mill_about|02645159,01906119
mill_around|02645159,01906119
mime|01747412,01728062
mimeo|01699152
mimeograph|01699152
mimic|01747412
mince|01059908,01933880,01563365
mind|00850387,00726454,02442554,02577816,00726626,00611060
mine|01165936,01128150
mineralize|00586782,00586683
mingle|01464634,02603092,02745736
miniate|01700788,01687852
miniaturise|00242382
miniaturize|00242382
minify|00442400
minimise|00842804,00428755
minimize|00428755,00842804,00866139
minister|02555089,02451525
minor|00609193
minstrel|01734097
mint|01642647
mire|02684097,01839045,01838838,01537533
mirror|02772883,00823605
misaddress|00993057
misadvise|00877635
misalign|00467240
misally|02435268
misapply|01163606
misapprehend|00621541
misappropriate|02297496
misbehave|02522868
misbelieve|00686426
miscalculate|00714218,00641140
miscall|00973356
miscarry|02534046,00059540
miscast|01714932
miscegenate|02744996
misconceive|00621541
misconduct|02522868,02443726
misconstrue|00621541
miscount|00950634
miscreate|00703342
misdate|00621175
misdeal|02251690
misdeliver|01441222
misdemean|02522868
misdirect|02585532,02004320,00993057
misdo|02568929
misestimate|00714218,00641140
misfire|01137079
misfunction|01528083
misgauge|00675260
misgive|00735477
misgovern|02593071
misguide|02004320,00877635
mishandle|02533317,02443726
misidentify|00619957
misinform|00835688
misinterpret|00941213,00626438,00621541
misjudge|00673109
mislay|01505740
mislead|02004320,00835688
mismanage|02443726
mismarry|02495012
mismatch|01296629
mismate|01296151
misname|00973356
misperceive|02122323
misplace|01505740,01504432
misplay|01653237,01077437
misprint|01750647
mispronounce|00953633
misquote|01025790
misread|00629355,00626438
misremember|00619295
misrepresent|00838384,02583006
miss|02132318,01809490,02619707,00616690,02026505,02638434,01240465,02638919,00812219
misspeak|00953633
misspell|00940177
misspend|02714161,02271522
misstate|00800905
mist|00362148,02162161,01375968
mist_over|00362148
mistake|00619957,00619438
mistime|00492249
mistranslate|00962485
mistreat|02522260
mistrust|00689827
misunderstand|00621541
misuse|01163606,00203575
miter|01587120,02268766,01294310
mitigate|00907990,00199225
mix|00395719,02487489,00557270,00184262,01464634,01421321
mix_in|00396941,00184262
mix_up|01660937,00622051
mizzle|02763433
moan|01047291
mob|02068059
mobilise|01100371,01090792,00271014,00270891
mobilize|00271014,01100371,01090792,00270891
mock|00850760,00851012
mock_up|01701301
model|01747665,01700922,02147248,02147099,01726857,01701301
moderate|00815452,00199085,02516039,01059908,00935528,00295646
modernise|00411945,00262962
modernize|00262962,00411945
modify|00169614,00171140,00126072
modulate|01733021,00984325,00300122,00171471,00123702
moil|02424873,01889423,00218640
moisten|00218382,01378747
moisturise|00216226
moisturize|00216226
mold|01700922,00211164,01666666,01663142,01223969,00702806
molder|00210263
molest|02575410,01793315
mollify|01769244,00295646,00256913
mollycoddle|02576182
molt|00009140
monetise|02486820
monetize|02486820
monger|02307797
mongrelise|01432296
mongrelize|01432296
monish|00872857,00872241
monitor|02167732,02168057
monkey|01588939,01475976
monkey_around|01475976
monologuise|00966510
monologuize|00966510
monopolise|02447411,02209024
monopolize|02447411,02209024
monumentalise|00613981
monumentalize|00613981
moo|01056890
mooch|02275249
moon|02423305,02423008,02146313
moon_about|01809214
moon_around|02423008,01809214
moon_on|02423008
moonlight|02425706
moonshine|00229284
moor|01308202,01308021,01307759
moot|00814706
mop|01395993,00034751
mop_up|01395993,01105408,00485823
mope|01922662,01809214
mope_around|01922662
moralise|00940652,00830035,00385718
moralize|00940652,00830035,00385718
morph|00470100,00469943
mortar|01364994
mortgage|02356733
mortice|01296385,01296247
mortify|01806052,01805829,01803805,00097148
mortise|01296385,01296247
mosey|01922176
mosh|01901878
mothball|02286486
mother|02556213,00054345
mothproof|01157291
motion|00994073
motivate|01653541
motley|00437832,00285429
motor|01934070
motorbike|01939907
motorboat|01949136
motorcycle|01939907
motorise|00481682
motorize|02230954,02230795,00481682
mottle|01700030,00511445
mould|01700922,01666666,01663142
moulder|00210263
moult|00009140
mound|01664280
mound_over|01610775,01664441
mount|01345886,00434185,00408558,01652666,01927367,01925957,01652793,01431955
mount_up|01927367
mountaineer|01926888
mourn|01801062,01801215
mouse|01915881,01214679
mousse|00039663
mouth|00944022,01042579,01435107
mouth_off|01053828
move|01839438,01854282,01835473,01859592,02377696,00014542,00124250,02372362,01771801,01653541,01775311,02360955,00540190,02604860,01079008,00880877
move_around|01913805,02106280
move_back|01998474
move_back_and_forth|01880523
move_in|01860082,02019236,01859968
move_in_on|02023027,02445779
move_into|02020375
move_involuntarily|00010047
move_on|01996535
